"CODE","SNOMED_conceptId_description","PrimaryCode"
"976661000000106","White: Irish - England and Wales ethnic category 2011 census ","B"
"92401000000106","Irish - ethnic category 2001 census (finding)","B"
"977961000000101","White: Irish - Scotland ethnic category 2011 census ","B"
"494171000000107","White Irish - ethnic category 2001 census ","B"
"315237009","White Irish (ethnic group)","B"
"186014006","Irish (NMO) (ethnic group)","B"
"494181000000109","White Irish - ethnic category 2001 census ","B"
"977951000000104","White: Irish - Scotland ethnic category 2011 census (finding)","B"
"494161000000100","White Irish - ethnic category 2001 census (finding)","B"
"976651000000108","White: Irish - England and Wales ethnic category 2011 census (finding)","B"
"976721000000109","Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census ","D"
"977401000000106","Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census ","D"
"977391000000108","Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census (finding)","D"
"92421000000102","White and Black Caribbean - ethnic category 2001 census (finding)","D"
"315634007","Black Caribbean and White (ethnic group)","D"
"976711000000103","Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census (finding)","D"
