"CODE","SNOMED_conceptId_description","PrimaryCode"
"13440006","Tanganyikans (ethnic group)","N"
"14470009","Tutsi (ethnic group)","N"
"59366001","Ibo (ethnic group)","N"
"185993005","Black - other African country (ethnic group)","N"
"3818007","Senegalese (ethnic group)","N"
"52075006","Congolese (ethnic group)","N"
"94061000000107","North African - ethnic category 2001 census (finding)","N"
"88934004","Nigerians (ethnic group)","N"
"8124001","West Africans (ethnic group)","N"
"90822005","Gambians (ethnic group)","N"
"39764005","Bantu (ethnic group)","N"
"76253004","Zulu (ethnic group)","N"
"46110004","Somalis (ethnic group)","N"
"978231000000100","African: African, African Scottish or African British - Scotland ethnic category 2011 census (finding)","N"
"51750002","Hottentot (ethnic group)","N"
"977801000000108","Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census ","N"
"88839008","Sudanese (ethnic group)","N"
"71176007","Pygmies (ethnic group)","N"
"186010002","Other African countries (NMO) (ethnic group)","N"
"92491000000104","African - ethnic category 2001 census (finding)","N"
"83584002","Luo (ethnic group)","N"
"92711000000100","Somali - ethnic category 2001 census (finding)","N"
"82174001","Shona (ethnic group)","N"
"978241000000109","African: African, African Scottish or African British - Scotland ethnic category 2011 census ","N"
"72248007","Kikuyu (ethnic group)","N"
"72201005","Hobe (ethnic group)","N"
"37843006","Fulani (ethnic group)","N"
"870448005","Khoikhoi (ethnic group)","N"
"58047002","Barundi (ethnic group)","N"
"37474002","Ghanaians (ethnic group)","N"
"10008004","Ewe (ethnic group)","N"
"88790004","Abyssinians (Amharas) (ethnic group)","N"
"9158000","Liberians (ethnic group)","N"
"976891000000104","Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census (finding)","N"
"2720008","Hututu (ethnic group)","N"
"976901000000103","Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census ","N"
"23922002","Batutsi (ethnic group)","N"
"186012005","Indian sub-continent (NMO) (ethnic group)","H"
"64483007","Indians (Hindi-speaking) (ethnic group)","H"
"976801000000106","Asian or Asian British: Indian - England and Wales ethnic category 2011 census ","H"
"977601000000109","Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census ","H"
"977591000000103","Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census (finding)","H"
"976791000000107","Asian or Asian British: Indian - England and Wales ethnic category 2011 census (finding)","H"
"186001005","Indian (East Indian) (ethnic group)","H"
"185995003","Black Indian sub-continent (ethnic group)","H"
"110751000000108","Indian or British Indian - ethnic category 2001 census (finding)","H"
"414481008","Indian (racial group)","H"
"978121000000106","Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census ","H"
"978111000000100","Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census (finding)","H"
"977911000000103","White: Scottish - Scotland ethnic category 2011 census (finding)","A"
"92391000000108","British or mixed British - ethnic category 2001 census (finding)","A"
"110761000000106","English - ethnic category 2001 census (finding)","A"
"25804004","English (ethnic group)","A"
"976631000000101","White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census (finding)","A"
"494131000000105","White British - ethnic category 2001 census (finding)","A"
"92571000000102","Cornish - ethnic category 2001 census (finding)","A"
"977921000000109","White: Scottish - Scotland ethnic category 2011 census ","A"
"401214002","Other white British ethnic group (ethnic group)","A"
"92541000000108","Scottish - ethnic category 2001 census (finding)","A"
"92791000000109","Cypriot (part not stated) - ethnic category 2001 census (finding)","A"
"315236000","White British (ethnic group)","A"
"977941000000102","White: other British - Scotland ethnic category 2011 census ","A"
"977931000000106","White: other British - Scotland ethnic category 2011 census (finding)","A"
"494151000000103","White British - ethnic category 2001 census ","A"
"977351000000100","White - Northern Ireland ethnic category 2011 census (finding)","A"
"976641000000105","White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census ","A"
"494141000000101","White British - ethnic category 2001 census ","A"
"92551000000106","Welsh - ethnic category 2001 census (finding)","A"
"977361000000102","White - Northern Ireland ethnic category 2011 census ","A"
"401213008","White Scottish (ethnic group)","A"
"977721000000106","Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census ","J"
"978081000000108","Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census ","J"
"92461000000105","Pakistani or British Pakistani - ethnic category 2001 census (finding)","J"
"81035008","Pakistani (Urduspeakers) (ethnic group)","J"
"976821000000102","Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census ","J"
"186002003","Pakistani (ethnic group)","J"
"977711000000100","Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census (finding)","J"
"976811000000108","Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census (finding)","J"
"978071000000106","Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census (finding)","J"
"88921000000107","Traveller - ethnic category 2001 census (finding)","T"
"88931000000109","Gypsy/Romany - ethnic category 2001 census (finding)","T"
"977371000000109","Irish Traveller - Northern Ireland ethnic category 2011 census (finding)","T"
"976681000000102","White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census ","T"
"977981000000105","White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census ","T"
"718964009","Polish Roma (ethnic group)","T"
"88911000000101","Irish Traveller - ethnic category 2001 census (finding)","T"
"718958002","Roma (ethnic group)","T"
"976671000000104","White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census (finding)","T"
"718960000","Romanian Roma (ethnic group)","T"
"977381000000106","Irish Traveller - Northern Ireland ethnic category 2011 census ","T"
"977971000000108","White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census (finding)","T"
"315283003","Irish traveller (ethnic group)","T"
"977781000000107","Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census ","L"
"40165009","Buriats (ethnic group)","L"
"92761000000103","Japanese - ethnic category 2001 census (finding)","L"
"110781000000102","Sinhalese - ethnic category 2001 census (finding)","L"
"92651000000105","Kashmiri - ethnic category 2001 census (finding)","L"
"92681000000104","British Asian - ethnic category 2001 census (finding)","L"
"94121000000100","Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census (finding)","L"
"414978006","Oriental (ethnic group)","L"
"81283004","Todas (ethnic group)","L"
"42632009","Andamanese (ethnic group)","L"
"67165000","Lapps (ethnic group)","L"
"83939006","Irula (ethnic group)","L"
"704389008","Murut (ethnic group)","L"
"92671000000101","Tamil - ethnic category 2001 census (finding)","L"
"92701000000102","Other Asian or Asian unspecified - ethnic category 2001 census (finding)","L"
"4299001","Marathas (ethnic group)","L"
"57405008","Chenchu (ethnic group)","L"
"92481000000101","Other Asian background - ethnic category 2001 census (finding)","L"
"185996002","Black - other Asian (ethnic group)","L"
"704386001","Orang asli (ethnic group)","L"
"704390004","Bajau (ethnic group)","L"
"86461000000107","Sri Lankan - ethnic category 2001 census (finding)","L"
"977771000000105","Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census (finding)","L"
"91066000","Tatars (ethnic group)","L"
